CIP78-42T;28516;161125;08/11/16
CIP105521;28516;161125//161206;08/11/16
CIP103793;28516;161125;08/11/16
CIP111188T;28516;161125;08/11/16
CIP52-81;27816;161125;08/11/16
CIP103527T;;161125;08/11/16
CIP103534T;;161125;08/11/16
CIP108171T;;161125;08/11/16
CIP108325T;;161125//161206/ 161213;08/11/16
CIP108386T;;161125;08/11/16
CIP109940T;;161125;08/11/16
CIP109941T;;161216 /161125//161206;08/11/16
CIP111106;24316;161216;23/11/16
CIP111175;23216;161215;23/11/16
CIP103472T;;161215;23/11/16
CIP105445;;161215;23/11/16
CIP51-19;;161215/161227;23/11/16
CIP105443;;161215/ 161230;23/11/16
CIP105443;;161215;23/11/16
CIP66-24T;7815;161215;23/11/16
CIPA184;;170106  / 161215;23/11/16
CIP105674;;161215;23/11/16
CIP110220;;161215;23/11/16
CIP110222;;170106 / 161215;23/11/16
CIPA5;;170106/ 161215;23/11/16
CIPA29;;161215;23/11/16
CIPA30;;161215/161227;23/11/16
CIPA31;;161215;23/11/16
CIP102455;;161215;23/11/16
CIP105700T;;161215;23/11/16
CIP52-59;;161215;23/11/16
CIP105701;;170113 // 161215;23/11/16
CIP105702;;161215;23/11/16
CIP105772T;;161215;23/11/16
CIP105442;;161215;23/11/16
CIP105444;;170113 //161215;23/11/16
CIP105773;;161215;23/11/16
CIP105774;;161215/161222;23/11/16
CIP111018T;;161215;23/11/16
CIP111014T;;161215;23/11/16
CIP110041T;;161215;23/11/16
CIP53-137T;;161215;23/11/16
CIP102697;;161215;23/11/16
CIP110221;;161216;23/11/16
CIP53-1;;161215;23/11/16
CIP53-138;;161215;23/11/16
CIP110137T;10510;170113/ 161215;23/11/16
CIPA155;gib;"161215/161227";23/11/16
CIP52-65T;27514;170113/ 161215;23/11/16
CIP106095;30809;161215;23/11/16
CIP64-69T;;161216;23/11/16
CIP109036T;;161216;23/11/16
CIP110927;30315;161216;23/11/16
CIP111184T;;161215;23/11/16
CIP103349T;;161215, 161222;23/11/16
CIP111180T;30016;161215;23/11/16
CIP111181T;30016;161215;23/11/16
CIP103995T;27816;161230;23/11/16
CIP104207;30016;161215;23/11/16
CIP104583;336;161215;24/11/16
CIP104688T;28516;161230;24/11/16
CIP111176T;28516;170103;24/11/16
CIP111177T;30016;161215;24/11/16
CIP111179T;30016;161215/170103;24/11/16
CIP111189T;30016;170103;24/11/16
CIP72-17T;32016;161216;08/12/16
CIP103020;32016;161216;08/12/16
CIP104794;32016;170131 redeposit;08/12/16
CIP104676;32016;170131 redeposit;08/12/16
CIP106495;32016;161216;08/12/16
CIP111104T;30016;170117 redeposit //161222;08/12/16
CIP111182T;30016;161223;08/12/16
CIP111196T;32016;161222;08/12/16
CIP102181;;161230;16/12/16
CIP102301T;;161230;16/12/16
